Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
623.61849	623.6085	.0100	Cer 39:2;O2	C39H75NO3	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=Cer 39:2;O2
918.75728	918.7545	.0028	TG 56:9	C59H96O6	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 56:9
883.69947	883.6899	.0096	PC 42:4	C50H92NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC 42:4
788.58591	788.5800	.0059	PS O-37:2	C43H82NO9P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PS O-37:2
788.58591	788.5800	.0059	PS 37:0	C43H84NO10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS 37:0
788.58591	788.5952	.0093	PE O-42:6	C47H84NO7P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PE O-42:6
919.76814	919.7749	.0068	TG 57:7	C60H102O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 57:7
919.76814	919.7725	.0044	TG 55:4	C58H104O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 55:4
919.76814	919.7701	.0020	TG 53:1	C56H106O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 53:1
738.62124	738.6242	.0030	HexCer 38:1;O2	C44H85NO8	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=HexCer 38:1;O2
738.62124	738.6160	.0053	CerP 44:2;O2	C44H86NO6P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=CerP 44:2;O2
920.77284	920.7702	.0027	TG 56:8	C59H98O6	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 56:8
737.61794	737.6167	.0012	PC O-32:0	C40H82NO7P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC O-32:0
737.61794	737.6167	.0012	PE O-35:0	C40H82NO7P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PE O-35:0
679.57617	679.5812	.0051	CE 22:6	C49H76O2	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=CE 22:6
884.70403	884.7103	.0062	PC 43:2	C51H98NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 43:2
701.54668	701.5480	.0013	PA O-37:2	C40H77O7P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PA O-37:2
701.54668	701.5480	.0013	PA 37:0	C40H79O8P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PA 37:0
701.54668	701.5503	.0037	DG 44:9	C47H74O5	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=DG 44:9
832.65221	832.6426	.0096	PS O-40:1	C46H90NO9P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PS O-40:1
832.65221	832.6578	.0056	PC O-42:5	C50H92NO7P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PC O-42:5
832.65221	832.6426	.0096	PG O-40:3	C46H87O9P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PG O-40:3
916.74198	916.7389	.0031	TG 56:10	C59H94O6	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 56:10
772.61204	772.6215	.0094	PC O-36:2	C44H86NO7P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC O-36:2
772.61204	772.6215	.0094	PE O-39:2	C44H86NO7P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE O-39:2
772.61204	772.6215	.0094	PC 36:0	C44H88NO8P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PC 36:0
772.61204	772.6215	.0094	PE 39:0	C44H88NO8P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PE 39:0
833.69477	833.7017	.0070	TG 52:6	C55H94O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 52:6
775.60225	775.5960	.0063	PC 34:2	C42H80NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC 34:2
775.60225	775.5960	.0063	PE 37:2	C42H80NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PE 37:2
775.60225	775.6029	.0007	CL 78:0	C87H170O17P2	[M+2H]2+	/resources/tools/chemdb_ontology?abbrev=CL 78:0
909.71384	909.7055	.0083	PC 44:5	C52H94NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC 44:5
874.73023	874.7259	.0043	PC 42:0	C50H100NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 42:0
781.66467	781.6704	.0058	TG 48:4	C51H90O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 48:4
781.66467	781.6582	.0065	SM 41:2;O2	C46H91N2O6P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=SM 41:2;O2
781.66467	781.6656	.0010	DG 44:0	C47H92O5Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=DG 44:0
701.51045	701.5116	.0011	PA 36:2	C39H73O8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PA 36:2
701.51045	701.5116	.0011	PG O-33:2	C39H75O9P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG O-33:2
701.51045	701.5091	.0013	DG 39:5	C42H72O5Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=DG 39:5
660.30758	660.3143	.0068	PS 25:4;O3	C31H52NO13P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS 25:4;O3
660.30758	660.3119	.0044	PS 23:2;O2	C29H52NO12PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PS 23:2;O2
620.60641	620.5976	.0088	Cer 40:2;O2	C40H77NO3	[M+H]+	/resources/tools/chemdb_ontology?abbrev=Cer 40:2;O2
620.60641	620.5976	.0088	Cer 40:1;O3	C40H79NO4	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=Cer 40:1;O3
659.52059	659.5122	.0083	CerPE 34:2;O2	C36H71N2O6P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=CerPE 34:2;O2
659.52059	659.5122	.0083	CerPE 34:1;O3	C36H73N2O7P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=CerPE 34:1;O3
659.52059	659.5205	.0001	HexCer 30:2;O2	C36H67NO8	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=HexCer 30:2;O2
873.72719	873.7330	.0059	TG 55:7	C58H98O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 55:7
910.71899	910.7235	.0045	PC 43:0	C51H102NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 43:0
675.49471	675.4959	.0012	PA 34:1	C37H71O8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PA 34:1
675.49471	675.4959	.0012	PG O-31:1	C37H73O9P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG O-31:1
675.49471	675.4959	.0012	DG 39:7	C42H68O5Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=DG 39:7
675.49471	675.4935	.0012	DG 37:4	C40H70O5Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=DG 37:4
676.49804	676.4912	.0069	PC 28:1	C36H70NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 28:1
676.49804	676.4912	.0069	PE 31:1	C36H70NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 31:1
676.49804	676.4912	.0069	PS O-30:0	C36H72NO9P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS O-30:0
676.49804	676.4912	.0069	PA 33:2	C36H67O8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA 33:2
837.65702	837.6480	.0090	PC O-40:6	C48H86NO7P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC O-40:6
787.66721	787.6687	.0015	SM 40:1;O2	C45H91N2O6P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=SM 40:1;O2
787.66721	787.6770	.0098	HexCer 39:1;O2	C45H87NO8	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=HexCer 39:1;O2
839.67175	839.6637	.0081	PC O-40:5	C48H88NO7P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC O-40:5
626.5134	626.5095	.0039	Cer 36:1;O3	C36H71NO4Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=Cer 36:1;O3
847.71125	847.7174	.0061	TG 53:6	C56H96O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 53:6
843.59572	843.5858	.0099	PS 39:4	C45H80NO10P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PS 39:4
610.53933	610.5405	.0012	DG 34:2	C37H68O5	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=DG 34:2
881.6814	881.6742	.0072	PC 42:5	C50H90NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC 42:5
888.71106	888.7076	.0035	TG 54:10	C57H90O6	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 54:10
917.75324	917.7593	.0060	TG 57:8	C60H100O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 57:8
917.75324	917.7569	.0036	TG 55:5	C58H102O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 55:5
917.75324	917.7545	.0012	TG 53:2	C56H104O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 53:2
897.65779	897.6555	.0023	PG 43:1	C49H95O10PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PG 43:1
891.73812	891.7436	.0055	TG 55:7	C58H98O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 55:7
891.73812	891.7412	.0031	TG 53:4	C56H100O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 53:4
891.73812	891.7388	.0007	TG 51:1	C54H102O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 51:1
887.70816	887.7123	.0042	TG 55:9	C58H94O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 55:9
887.70816	887.7099	.0017	TG 53:6	C56H96O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 53:6
887.70816	887.7075	.0007	TG 51:3	C54H98O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 51:3
861.69188	861.6967	.0048	TG 53:8	C56H92O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 53:8
861.69188	861.6943	.0024	TG 51:5	C54H94O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 51:5
861.69188	861.6919	.0000	TG 49:2	C52H96O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 49:2
907.69815	907.6899	.0083	PC 44:6	C52H92NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC 44:6
943.76947	943.7749	.0054	TG 59:9	C62H102O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 59:9
943.76947	943.7725	.0030	TG 57:6	C60H104O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 57:6
943.76947	943.7701	.0006	TG 55:3	C58H106O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 55:3
637.63124	637.6242	.0071	Cer 40:2;O2	C40H77NO3	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=Cer 40:2;O2
475.41412	475.4146	.0004	TG 59:6	C62H108O6	[M+2H]2+	/resources/tools/chemdb_ontology?abbrev=TG 59:6
475.41412	475.4122	.0020	TG 55:0	C58H112O6Na2	[M+2Na]2+	/resources/tools/chemdb_ontology?abbrev=TG 55:0
548.50394	548.5037	.0002	Cer 35:2;O3	C35H67NO4	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=Cer 35:2;O3
548.50394	548.5013	.0026	Cer 33:0;O2	C33H67NO3Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=Cer 33:0;O2
553.45865	553.4567	.0019	FA 33:1;O	C33H64O3Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=FA 33:1;O
765.52121	765.5276	.0064	PI O-31:0	C40H79O12P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PI O-31:0
765.52121	765.5177	.0035	PE 37:7	C42H70NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PE 37:7
