Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
760.48784	760.4864	.0015	PC 31:2	C39H74NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PC 31:2
760.48784	760.4864	.0015	PE 34:2	C39H74NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PE 34:2
734.54296	734.5330	.0099	PS O-33:1	C39H76NO9P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PS O-33:1
734.54296	734.5483	.0053	PE O-38:5	C43H78NO7P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PE O-38:5
734.54296	734.5330	.0099	PG O-33:3	C39H73O9P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PG O-33:3
576.50599	576.4962	.0098	Cer 34:1;O3	C34H67NO4Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=Cer 34:1;O3
791.47942	791.4858	.0063	PG 38:8	C44H71O10P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PG 38:8
791.47942	791.4705	.0089	PI 31:3	C40H71O13P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PI 31:3
791.47942	791.4834	.0039	PG 36:5	C42H73O10PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PG 36:5
791.47942	791.4705	.0090	MGDG 36:9	C45H68O10Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=MGDG 36:9
791.47942	791.4809	.0015	PG 34:2	C40H75O10PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PG 34:2
765.52476	765.5276	.0029	PI O-31:0	C40H79O12P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PI O-31:0
765.52476	765.5177	.0070	PE 37:7	C42H70NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PE 37:7
765.52476	765.5247	.0001	CL 78:10	C87H150O17P2	[M+2H]2+	/resources/tools/chemdb_ontology?abbrev=CL 78:10
765.52476	765.5223	.0025	CL 74:4	C83H154O17P2Na2	[M+2Na]2+	/resources/tools/chemdb_ontology?abbrev=CL 74:4
676.48998	676.4912	.0012	PC 28:1	C36H70NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 28:1
676.48998	676.4912	.0012	PE 31:1	C36H70NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 31:1
676.48998	676.4912	.0012	PS O-30:0	C36H72NO9P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS O-30:0
676.48998	676.4912	.0012	PA 33:2	C36H67O8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA 33:2
823.57778	823.5695	.0083	PI O-34:1	C43H83O12P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PI O-34:1
823.57778	823.5847	.0070	PG 41:4	C47H85O10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG 41:4
823.57778	823.5799	.0022	PG O-37:0	C43H87O9PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PG O-37:0
640.58596	640.5874	.0015	DG 36:1	C39H74O5	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=DG 36:1
787.50779	787.5120	.0042	PI O-33:3	C42H77O12P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PI O-33:3
787.50779	787.5066	.0012	CL 78:10	C87H150O17P2Na2	[M+2Na]2+	/resources/tools/chemdb_ontology?abbrev=CL 78:10
767.53043	767.5221	.0083	PG 37:4	C43H77O10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG 37:4
767.53043	767.5334	.0029	PC 34:6	C42H72NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC 34:6
767.53043	767.5334	.0029	PE 37:6	C42H72NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PE 37:6
786.52369	786.5280	.0043	PS 36:3	C42H76NO10P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PS 36:3
786.52369	786.5256	.0019	PS 34:0	C40H78NO10PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PS 34:0
786.52369	786.5280	.0043	PG 36:5	C42H73O10P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PG 36:5
786.52369	786.5151	.0086	MGDG 36:9	C45H68O10	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=MGDG 36:9
778.53442	778.5381	.0037	PC 36:6	C44H76NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 36:6
778.53442	778.5381	.0037	PE 39:6	C44H76NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 39:6
778.53442	778.5381	.0037	PS O-38:5	C44H78NO9P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS O-38:5
778.53442	778.5357	.0013	PC 34:3	C42H78NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 34:3
778.53442	778.5357	.0013	PE 37:3	C42H78NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 37:3
778.53442	778.5381	.0037	PA 41:7	C44H73O8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA 41:7
778.53442	778.5301	.0043	CL 76:5	C85H156O17P2Na2	[M+2Na]2+	/resources/tools/chemdb_ontology?abbrev=CL 76:5
778.53442	778.5333	.0011	PC 32:0	C40H80NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PC 32:0
778.53442	778.5333	.0011	PE 35:0	C40H80NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PE 35:0
824.58171	824.5800	.0017	PS O-40:5	C46H82NO9P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PS O-40:5
824.58171	824.5800	.0017	PS 40:3	C46H84NO10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS 40:3
824.58171	824.5776	.0041	PS O-38:2	C44H84NO9PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PS O-38:2
