Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
737.35672	737.3519	.0048	PI 25:3;O2	C34H59O15P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PI 25:3;O2
737.35672	737.3519	.0048	PG 26:4;O3	C32H55O13P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PG 26:4;O3
592.53041	592.5310	.0006	Cer 37:2;O3	C37H71NO4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=Cer 37:2;O3
782.42662	782.4218	.0049	PI 28:2;O2	C37H67O15P	Neutral	/resources/tools/chemdb_ontology?abbrev=PI 28:2;O2
628.50698	628.5077	.0007	Cer 37:2;O3	C37H71NO4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=Cer 37:2;O3
628.50698	628.5067	.0003	DG 37:5	C40H68O5	Neutral	/resources/tools/chemdb_ontology?abbrev=DG 37:5
668.53363	668.5380	.0043	DG 40:6	C43H72O5	Neutral	/resources/tools/chemdb_ontology?abbrev=DG 40:6
638.536	638.5365	.0005	Cer 37:2;O3	C37H71NO4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=Cer 37:2;O3
638.536	638.5365	.0005	Cer 36:2;O3	C36H69NO4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=Cer 36:2;O3
783.42972	783.4301	.0004	PI 27:1	C36H67O13P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PI 27:1
783.42972	783.4301	.0004	PI 26:1	C35H65O13P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PI 26:1
773.40103	773.4013	.0003	PI 27:1	C36H67O13P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PI 27:1
702.56241	702.5676	.0052	CerPE 37:1;O2	C39H79N2O6P	Neutral	/resources/tools/chemdb_ontology?abbrev=CerPE 37:1;O2
702.56241	702.5676	.0052	SM 34:1;O2	C39H79N2O6P	Neutral	/resources/tools/chemdb_ontology?abbrev=SM 34:1;O2
702.56241	702.5563	.0061	PA O-37:1	C40H79O7P	Neutral	/resources/tools/chemdb_ontology?abbrev=PA O-37:1
731.54182	731.5387	.0031	DG 42:6	C45H76O5	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=DG 42:6
731.54182	731.5345	.0073	CerPE 36:2;O2	C38H75N2O6P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=CerPE 36:2;O2
731.54182	731.5345	.0073	SM 33:2;O2	C38H75N2O6P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SM 33:2;O2
731.54182	731.5345	.0073	CerPE 35:2;O2	C37H73N2O6P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=CerPE 35:2;O2
731.54182	731.5345	.0073	SM 32:2;O2	C37H73N2O6P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SM 32:2;O2
731.54182	731.5414	.0004	CL 72:0	C81H158O17P2	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=CL 72:0
731.54182	731.5465	.0047	PC 32:1	C40H78NO8P	Neutral	/resources/tools/chemdb_ontology?abbrev=PC 32:1
731.54182	731.5465	.0047	PE 35:1	C40H78NO8P	Neutral	/resources/tools/chemdb_ontology?abbrev=PE 35:1
730.53868	730.5392	.0006	PE 35:1	C40H78NO8P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PE 35:1
730.53868	730.5475	.0088	HexCer 34:1;O4	C40H77NO10	[M-H]-	/resources/tools/chemdb_ontology?abbrev=HexCer 34:1;O4
730.53868	730.5475	.0088	HexCer 33:1;O2	C39H75NO8	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=HexCer 33:1;O2
730.53868	730.5475	.0088	HexCer 32:1;O2	C38H73NO8	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=HexCer 32:1;O2
730.53868	730.5392	.0006	PC 33:1	C41H80NO8P	[M-CH3]-	/resources/tools/chemdb_ontology?abbrev=PC 33:1
651.46571	651.4607	.0051	PG O-28:0	C34H69O9P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PG O-28:0
651.46571	651.4607	.0051	PA O-30:0	C33H67O7P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PA O-30:0
651.46571	651.4607	.0051	PA O-29:0	C32H65O7P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PA O-29:0
652.46901	652.4679	.0011	PG O-28:0	C34H69O9P	Neutral	/resources/tools/chemdb_ontology?abbrev=PG O-28:0
798.52572	798.5291	.0033	PS 37:3	C43H78NO10P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PS 37:3
798.52572	798.5210	.0047	PC O-36:6	C44H78NO7P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PC O-36:6
798.52572	798.5291	.0033	PC 34:4	C42H76NO8P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PC 34:4
798.52572	798.5291	.0033	PE 37:4	C42H76NO8P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PE 37:4
798.52572	798.5291	.0033	PC 33:4	C41H74NO8P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PC 33:4
798.52572	798.5291	.0033	PE 36:4	C41H74NO8P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PE 36:4
798.52572	798.5291	.0033	PE O-36:5;O	C41H74NO8P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PE O-36:5;O
798.52572	798.5282	.0025	MGDG 38:8	C47H74O10	Neutral	/resources/tools/chemdb_ontology?abbrev=MGDG 38:8
