Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
241.14435	241.1445	.0002	SFE 12:2	C12H20O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 12:2
241.14435	241.1445	.0002	WE 12:2	C12H20O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=WE 12:2
241.14435	241.1445	.0002	FA 11:2	C11H18O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 11:2
241.14435	241.1445	.0002	SFE 11:2	C11H18O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 11:2
241.14435	241.1445	.0002	WE 11:2	C11H18O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=WE 11:2
241.14435	241.1418	.0026	PG 33:5	C39H67O10P	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=PG 33:5
431.17099	431.1665	.0045	ST 21:2;O2;S	C21H32O5S	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 21:2;O2;S
569.29121	569.2887	.0025	ST 30:4;O8	C30H46O8	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 30:4;O8
581.29108	581.2965	.0054	PS 20:1;O	C26H48NO11P	Neutral	/resources/tools/chemdb_ontology?abbrev=PS 20:1;O
376.2701	376.2624	.0077	Cer 20:1;O2	C20H39NO3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=Cer 20:1;O2
376.2701	376.2684	.0017	PA 40:3	C43H79O8P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PA 40:3
376.2701	376.2725	.0024	MGDG 34:2	C43H78O10	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=MGDG 34:2
376.2701	376.2614	.0087	MG 20:5	C23H36O4	Neutral	/resources/tools/chemdb_ontology?abbrev=MG 20:5
295.15484	295.1551	.0003	FA 16:4;O3	C16H24O5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 16:4;O3
295.15484	295.1470	.0078	FA 17:5	C17H24O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 17:5
295.15484	295.1551	.0003	FA 15:4;O	C15H22O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 15:4;O
295.15484	295.1551	.0003	FA 14:4;O	C14H20O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 14:4;O
464.27665	464.2783	.0016	LPC 14:1	C22H44NO7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPC 14:1
464.27665	464.2783	.0016	LPE 17:1	C22H44NO7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPE 17:1
464.27665	464.2784	.0018	CAR 16:1;O2	C23H43NO6	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=CAR 16:1;O2
348.23079	348.2301	.0007	FA 21:5;O2	C21H32O4	Neutral	/resources/tools/chemdb_ontology?abbrev=FA 21:5;O2
348.23079	348.2301	.0007	ST 21:2;O4	C21H32O4	Neutral	/resources/tools/chemdb_ontology?abbrev=ST 21:2;O4
358.25962	358.2599	.0003	CAR 12:0;O	C19H37NO5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=CAR 12:0;O
358.25962	358.2518	.0078	NAE 18:2	C20H37NO2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=NAE 18:2
433.20747	433.2079	.0005	FA 19:3;O6	C19H32O8	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 19:3;O6
413.22204	413.2181	.0039	FA 21:4;O6	C21H34O8	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 21:4;O6
413.22204	413.2181	.0039	FA 20:4;O4	C20H32O6	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4;O4
413.22204	413.2181	.0039	FA 19:4;O4	C19H30O6	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 19:4;O4
651.2861	651.2787	.0074	LPI 18:4	C27H45O12P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=LPI 18:4
364.22553	364.2258	.0003	SPBP 17:1;O2	C17H36NO5P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SPBP 17:1;O2
364.22553	364.2260	.0005	CAR 11:0	C18H35NO4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=CAR 11:0
364.22553	364.2214	.0041	PA 39:8	C42H67O8P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PA 39:8
364.22553	364.2250	.0006	ST 21:2;O5	C21H32O5	Neutral	/resources/tools/chemdb_ontology?abbrev=ST 21:2;O5
72.99295	72.9931	.0002	FA 4:2;O4	C4H4O6	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=FA 4:2;O4
421.29798	421.2960	.0020	ST 25:1;O5	C25H42O5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 25:1;O5
421.29798	421.2960	.0020	MG O-21:5	C24H40O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=MG O-21:5
421.29798	421.2960	.0020	ST 24:1;O3	C24H40O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 24:1;O3
421.29798	421.2960	.0020	MG O-20:5	C23H38O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=MG O-20:5
421.29798	421.2960	.0020	ST 23:1;O3	C23H38O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 23:1;O3
421.29798	421.3024	.0044	PG 41:2	C47H89O10P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PG 41:2
253.14433	253.1445	.0002	FA 12:3	C12H18O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 12:3
253.14433	253.1418	.0026	PG 36:8	C42H67O10P	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=PG 36:8
488.23732	488.2444	.0071	ST 24:1;O5;S	C24H40O8S	Neutral	/resources/tools/chemdb_ontology?abbrev=ST 24:1;O5;S
375.25689	375.2541	.0028	MG 20:5	C23H36O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=MG 20:5
375.25689	375.2541	.0028	FA 22:5	C22H34O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5
375.25689	375.2541	.0028	SFE 22:5	C22H34O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 22:5
375.25689	375.2541	.0028	FA 21:5	C21H32O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 21:5
375.25689	375.2541	.0028	ST 21:2;O2	C21H32O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 21:2;O2
375.25689	375.2605	.0036	PA 40:4	C43H77O8P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PA 40:4
420.29509	420.2946	.0005	PG 41:3	C47H87O10P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PG 41:3
420.29509	420.2876	.0075	ST 25:2;O5	C25H40O5	Neutral	/resources/tools/chemdb_ontology?abbrev=ST 25:2;O5
374.25406	374.2548	.0008	CAR 11:0	C18H35NO4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=CAR 11:0
374.25406	374.2548	.0008	CAR 10:0	C17H33NO4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=CAR 10:0
374.25406	374.2527	.0014	PA 40:5	C43H75O8P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PA 40:5
374.25406	374.2457	.0083	ST 23:3;O4	C23H34O4	Neutral	/resources/tools/chemdb_ontology?abbrev=ST 23:3;O4
310.17396	310.1780	.0041	FA 17:4;O3	C17H26O5	Neutral	/resources/tools/chemdb_ontology?abbrev=FA 17:4;O3
374.24491	374.2548	.0099	CAR 11:0	C18H35NO4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=CAR 11:0
374.24491	374.2548	.0099	CAR 10:0	C17H33NO4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=CAR 10:0
374.24491	374.2457	.0008	ST 23:3;O4	C23H34O4	Neutral	/resources/tools/chemdb_ontology?abbrev=ST 23:3;O4
410.26543	410.2633	.0022	PG 40:6	C46H79O10P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PG 40:6
410.26543	410.2668	.0014	FA 23:4;O4	C23H38O6	Neutral	/resources/tools/chemdb_ontology?abbrev=FA 23:4;O4
410.22139	410.2313	.0099	LPC 10:0	C18H38NO7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPC 10:0
410.22139	410.2313	.0099	LPE 13:0	C18H38NO7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPE 13:0
410.22139	410.2313	.0099	SPBP 17:1;O2	C17H36NO5P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SPBP 17:1;O2
410.22139	410.2313	.0099	SPBP 16:1;O2	C16H34NO5P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SPBP 16:1;O2
420.25015	420.2521	.0019	CerP 20:1;O2	C20H40NO6P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=CerP 20:1;O2
420.25015	420.2476	.0025	PG 42:10	C48H75O10P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PG 42:10
309.17071	309.1708	.0000	FA 17:4;O3	C17H26O5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 17:4;O3
309.17071	309.1627	.0080	FA 18:5	C18H26O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 18:5
309.17071	309.1627	.0080	SFE 18:5	C18H26O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=SFE 18:5
309.17071	309.1627	.0080	ST 18:2;O2	C18H26O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 18:2;O2
309.17071	309.1627	.0080	WE 18:5	C18H26O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=WE 18:5
309.17071	309.1708	.0000	FA 16:4;O	C16H24O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 16:4;O
309.17071	309.1708	.0000	FA 15:4;O	C15H22O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 15:4;O
309.17071	309.1707	.0000	DGDG 36:9	C51H78O15	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=DGDG 36:9
